date,production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max,building_id
2021-03-04,22.1,143.0,210,1.72,243.0,111.8,0.46,8.346938775510203,13,138.77551020408163,192.6326530612245,57.3,79.20408163265306,495,89.71428571428571,680,14.53265306122449,12.2,17.1,0.210204081632653,0.0,1.0,74.56734693877551,51.1,93.4,1021.0653061224488,1018.1,1025.4,241.12244897959184,212,320,4.416326530612245,3.3,5.4,6
2021-03-05,5.4,143.0,210,1.72,243.0,111.8,0.46,4.4375,7,158.6875,229.875,51.70625,45.16666666666666,209,43.645833333333336,202,10.091666666666669,5.5,15.8,0.0479166666666666,0.0,0.1,80.54583333333333,70.1,93.4,1024.4833333333331,1019.4,1029.8,89.66666666666667,0,359,5.622916666666666,4.6,6.9,6
2021-03-06,56.7,143.0,210,1.72,243.0,111.8,0.46,2.458333333333333,8,175.54166666666666,261.0833333333333,1.8041666666666665,174.10416666666666,621,258.1458333333333,907,4.085416666666666,3.4,5.1,0.0,0.0,0.0,58.71458333333334,39.2,71.9,1029.15625,1027.2,1030.7,58.3125,46,67,5.422916666666667,4.0,6.5,6
2021-03-07,52.7,143.0,210,1.72,243.0,111.8,0.46,2.833333333333333,9,164.75,237.16666666666663,12.079166666666666,162.10416666666666,593,231.3125,847,8.1,4.5,9.6,0.0,0.0,0.0,68.71875,52.6,83.3,1022.8625,1019.6,1027.0,101.77083333333331,2,333,1.98125,0.1,4.3,6
2021-03-08,53.0,143.0,210,1.72,243.0,111.8,0.46,2.8125,8,173.5,250.6458333333333,3.0541666666666667,172.95833333333334,618,249.29166666666663,885,6.1625000000000005,5.5,7.0,0.0,0.0,0.0,62.93958333333333,42.4,79.9,1020.6833333333334,1019.5,1021.9,37.6875,27,64,4.36875,3.2,6.3,6
2021-03-09,39.3,143.0,210,1.72,243.0,111.8,0.46,3.2916666666666665,8,168.89583333333334,239.625,34.07083333333333,148.58333333333334,607,195.2708333333333,862,9.495833333333334,7.1,11.4,0.0041666666666666,0.0,0.1,71.28750000000001,48.0,89.3,1018.91875,1017.9,1020.1,199.6875,3,353,2.36875,1.3,3.8,6
2021-03-10,24.0,143.0,210,1.72,243.0,111.8,0.46,6.583333333333333,11,173.8125,247.0625,54.92291666666667,106.64583333333331,476,111.72916666666669,583,11.945833333333333,9.8,20.6,0.0270833333333333,0.0,0.1,69.81458333333333,44.5,91.8,1019.2208333333332,1014.3,1022.0,206.6458333333333,168,246,4.320833333333334,3.1,7.8,6
2021-03-11,4.7,143.0,210,1.72,243.0,111.8,0.46,10.104166666666666,12,168.8125,236.875,73.74583333333334,41.66666666666666,182,40.35416666666666,176,20.322916666666668,12.7,24.1,0.5729166666666666,0.0,1.7,71.58333333333333,56.2,81.7,1009.23125,1006.2,1013.8,224.04166666666663,202,252,10.997916666666669,8.3,12.6,6
2021-03-12,27.9,143.0,210,1.72,243.0,111.8,0.46,8.166666666666666,11,181.04166666666663,255.85416666666663,45.94375,117.58333333333331,593,138.6875,826,11.5125,9.3,15.5,0.1479166666666666,0.0,1.0,65.8,52.2,81.2,1013.31875,1011.3,1015.6,229.8125,211,249,8.918750000000001,7.8,10.4,6
2021-03-13,3.7,143.0,210,1.72,243.0,111.8,0.46,7.208333333333333,10,177.41666666666666,247.0208333333333,71.57291666666667,42.1875,170,40.958333333333336,164,14.795833333333334,13.4,17.5,0.4833333333333333,0.0,1.8,77.125,61.4,87.2,1006.7,1004.4,1011.5,222.0208333333333,203,251,11.289583333333333,8.2,14.1,6
2021-03-14,9.3,143.0,210,1.72,243.0,111.8,0.46,4.375,6,181.2708333333333,250.6458333333333,67.09375,64.04166666666667,280,64.41666666666667,324,11.185416666666669,9.4,13.1,0.31875,0.0,1.1,85.8,76.6,92.5,1013.6,1006.9,1017.3,246.375,209,261,6.745833333333334,5.3,8.6,6
2021-03-15,28.4,143.0,210,1.72,243.0,111.8,0.46,5.5,9,186.0625,257.1875,42.86875,111.52083333333331,591,134.89583333333334,788,11.204166666666666,8.6,13.8,0.375,0.0,1.4,83.08541666666666,71.3,90.5,1015.5958333333332,1012.7,1020.9,270.0625,214,311,6.49375,4.6,8.4,6
