,production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max
60,8.2,143.0,210,1.72,218.0,94.6,0.434,8.770833333333334,11,149.41666666666666,221.375,43.625,63.583333333333336,296,61.85416666666666,307,14.860416666666666,13.7,17.3,0.03125,0.0,0.1,79.62083333333334,63.1,88.8,1019.0104166666666,1017.5,1021.0,214.3125,199,245,5.658333333333334,3.9,7.3
61,4.7,143.0,210,1.72,218.0,94.6,0.434,10.8125,13,153.52083333333334,228.6875,63.86875,48.35416666666666,341,48.47916666666666,417,16.454166666666666,13.3,17.9,0.0,0.0,0.0,68.06666666666666,57.4,81.6,1014.5520833333334,1006.8,1019.0,210.2708333333333,192,227,8.525,7.4,10.3
62,12.9,143.0,210,1.72,218.0,94.6,0.434,9.673469387755102,12,151.9591836734694,222.51020408163265,63.04489795918367,65.48979591836735,459,73.75510204081633,606,14.43061224489796,10.4,17.2,0.3163265306122449,0.0,1.6,63.557142857142864,51.6,80.5,1004.4795918367348,1000.6,1010.6,221.1836734693877,195,246,10.53877551020408,8.0,13.7
63,4.3,143.0,210,1.72,218.0,94.6,0.434,7.458333333333333,9,160.64583333333334,237.35416666666663,60.19791666666666,49.375,229,47.895833333333336,221,14.275,10.3,18.1,0.25625,0.0,1.0,77.23125,65.3,85.2,1012.1333333333332,1010.6,1014.2,218.875,182,254,7.697916666666667,5.4,9.8
64,25.0,143.0,210,1.72,218.0,94.6,0.434,9.125,15,164.33333333333334,242.1458333333333,46.42083333333333,109.41666666666669,509,130.5625,699,14.945833333333333,11.3,21.1,0.0041666666666666,0.0,0.1,68.04791666666667,45.4,87.3,1006.1604166666666,999.2,1013.6,172.1875,153,190,5.45,3.4,6.8
65,22.2,143.0,210,1.72,218.0,94.6,0.434,9.791666666666666,12,167.91666666666666,246.2083333333333,40.86666666666667,96.72916666666669,569,122.3125,823,14.5125,10.8,19.4,0.1729166666666667,0.0,0.7,69.10000000000001,54.6,82.1,1003.6833333333334,996.8,1010.0,206.0,157,235,9.170833333333333,4.9,11.5
66,25.5,143.0,210,1.72,218.0,94.6,0.434,8.833333333333334,12,173.39583333333334,253.5208333333333,40.90625,102.9375,419,118.3125,535,11.402083333333332,9.3,15.2,0.06875,0.0,0.5,62.96875,41.3,80.4,1016.54375,1010.2,1020.1,229.8333333333333,203,247,7.597916666666666,5.3,9.6
67,3.2,143.0,210,1.72,218.0,94.6,0.434,10.0,12,168.35416666666666,240.9583333333333,56.85833333333333,40.5625,159,39.16666666666666,153,15.864583333333334,12.8,20.7,0.09375,0.0,0.6,74.97500000000001,65.8,80.7,1019.2458333333334,1017.7,1020.8,222.8333333333333,201,239,10.09375,8.4,12.2
68,23.9,143.0,210,1.72,218.0,94.6,0.434,11.395833333333334,15,171.39583333333334,243.9583333333333,45.75625,109.1875,593,141.52083333333334,838,16.575,7.3,27.4,0.45625,0.0,2.4,69.28333333333333,44.1,89.9,1014.8291666666668,1010.5,1021.9,239.1458333333333,188,274,11.829166666666666,7.9,15.0
69,21.4,143.0,210,1.72,218.0,94.6,0.434,5.354166666666667,7,174.64583333333334,244.91666666666663,27.45208333333333,101.58333333333331,583,118.04166666666669,798,8.820833333333333,7.6,10.9,0.1791666666666666,0.0,0.9,65.07916666666667,47.4,75.0,1023.4791666666666,1019.9,1028.6,261.1041666666667,237,277,8.045833333333333,4.8,10.7
70,27.9,143.0,210,1.72,218.0,94.6,0.434,6.8125,12,184.41666666666663,262.2291666666667,33.80416666666667,135.08333333333334,479,161.35416666666666,611,10.154166666666669,6.8,18.1,0.0604166666666666,0.0,0.9,56.94583333333333,30.7,83.9,1020.0208333333334,1007.8,1029.1,202.25,183,252,7.5375,4.9,11.6
71,26.3,143.0,210,1.72,218.0,94.6,0.434,6.791666666666667,9,180.47916666666663,251.8125,38.67916666666667,122.45833333333331,532,140.52083333333334,687,11.077083333333334,8.7,15.9,0.2291666666666666,0.0,1.0,70.93124999999999,59.2,83.4,1013.7458333333334,1010.5,1015.6,238.25,221,267,9.095833333333331,7.6,11.2
72,1.8,143.0,210,1.72,218.0,94.6,0.434,6.375,8,180.85416666666663,251.8125,73.60416666666667,44.10416666666666,176,42.8125,170,15.525,12.5,20.5,0.6416666666666667,0.0,1.8,84.59583333333333,81.1,89.6,1011.5666666666666,1006.1,1016.3,234.72916666666663,209,277,10.366666666666667,5.9,14.2
73,1.3,143.0,210,1.72,218.0,94.6,0.434,10.354166666666666,12,177.5625,243.6875,79.62916666666666,32.583333333333336,136,31.45833333333333,132,22.48125,13.2,26.3,0.5,0.1,1.6,84.92291666666667,80.7,90.9,1013.15,1011.4,1016.1,237.4583333333333,205,249,9.814583333333331,6.0,12.3
