production,p_per_m2,panel_area,facade_area,total_panel_area,exploitation_ratio,cloud_opacity_mean,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,dni_mean,dni_std,dni_q3,dni_max,ghi_std,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_std,relative_humidity_min
12.4,143.0,1.72,218.0,94.6,0.434,25.80208333333333,0.0,18.6,51.725,8.104166666666666,26.031273812705685,0.0,139,138.47017338921663,113.20833333333331,134.9412730157848,199.75,409,8.237175450186987,58.3
10.3,143.0,1.72,218.0,94.6,0.434,25.95208333333333,0.0,3.7,57.65,34.145833333333336,101.17038284620766,0.0,449,123.77724644533282,106.66666666666669,122.27094666012492,184.5,374,13.462160655093465,52.8
42.8,143.0,1.72,218.0,94.6,0.434,0.525,0.0,0.0,0.0,354.1875,373.6338893150364,762.25,874,309.4212740305602,308.7291666666667,377.1792135460352,650.75,983,16.50637476254003,42.2
23.8,143.0,1.72,218.0,94.6,0.434,39.66875,1.2,36.8,71.75,153.95833333333334,283.6871185050068,57.25,831,236.6053802002742,191.3958333333333,278.27544440893973,302.5,915,12.980282202780872,46.8
33.7,143.0,1.72,218.0,94.6,0.434,33.30416666666667,0.675,25.2,53.25,121.79166666666669,188.8503807569811,227.0,705,239.2829631130688,213.60416666666663,265.859884676387,404.5,812,15.10669368687062,52.2
41.5,143.0,1.72,218.0,94.6,0.434,1.0729166666666667,0.0,0.0,0.0,406.6041666666667,402.8592352007396,841.75,916,318.43034799595137,321.125,386.431994237295,680.75,1003,14.922663519788388,32.2
41.2,143.0,1.72,218.0,94.6,0.434,0.2125,0.0,0.0,0.0,371.8958333333333,381.44134484444334,778.75,893,315.9111716148446,315.3541666666667,380.88097708559,655.5,994,14.661702294904137,35.4
40.9,143.0,1.72,218.0,94.6,0.434,0.0,0.0,0.0,0.0,426.5,414.1401242975515,862.0,938,324.73665203324185,327.9583333333333,392.1391393497071,689.75,1018,18.66824398097832,24.8
41.0,143.0,1.72,218.0,94.6,0.434,7.458333333333333,0.0,0.0,1.75,331.4583333333333,416.8899011925236,870.0,963,334.2531681342773,316.5416666666667,401.9939111602675,708.5,1039,16.127079556927253,21.7
39.2,143.0,1.72,218.0,94.6,0.434,14.81875,0.0,6.5,29.1,238.10416666666663,323.5676942283128,525.25,797,307.1303925276435,285.4166666666667,363.06149958687377,597.0,969,15.556198167239954,25.9
28.3,143.0,1.72,218.0,94.6,0.434,27.414583333333336,7.875,32.8,36.25,97.39583333333331,204.59017047407224,0.0,645,235.01253078859344,195.2083333333333,257.4835634773469,364.25,845,9.65302197932509,41.8
28.3,143.0,1.72,218.0,94.6,0.434,36.2625,8.95,43.85,55.75,147.66666666666666,285.69239024512297,9.25,846,283.90243975953865,220.625,332.8131304309283,257.25,970,16.856793435558206,38.2
